Dimension_1	Dimension_2
-47.493275	-84.90616
99.03971	7.0444026
-46.398632	49.5993
22.53887	8.561333
69.6524	-73.53923
-69.76013	25.593184
25.56082	-34.873337
-8.970369	-79.69701
88.971115	63.22206
44.74686	-47.540527
36.01983	79.0848
33.645084	94.56259
-2.1037095	-16.987116
-24.084364	2.2137513
4.9182143	-65.11248
31.291447	-34.28146
-65.70938	-71.123886
-49.40148	-4.844461
96.10745	-11.582943
-48.13385	67.659355
33.468437	38.128284
53.86451	18.748032
40.98588	80.928894
84.89445	3.115894
71.746216	69.99556
-2.8059824	-16.963926
-65.20082	51.423847
-14.145088	-21.14012
38.622463	62.989086
-21.370085	28.293455
31.889782	57.376595
86.502655	45.316868
-53.710415	40.57954
110.30942	26.986788
43.137283	40.731327
21.327608	32.158566
-19.039059	-76.176285
-7.5009866	-66.546776
-36.83695	-101.45613
12.036438	-17.65266
-5.6455564	26.13098
-24.016047	-73.32796
4.2858796	28.992508
-14.434783	-83.67581
-15.741803	60.924652
-38.6463	-2.9984968
20.546268	102.740654
-0.043083068	15.045319
99.8427	-51.505554
34.393997	-6.775978
-64.7734	2.6852388
80.68419	-50.413513
-13.75068	-27.361712
6.334955	-14.230882
-15.870384	-13.053292
-48.946686	-1.274902
21.901283	-55.82551
-57.29501	77.24847
31.872948	-61.219196
70.58141	47.417015
11.46302	4.4937377
-15.219175	-27.348562
33.946583	37.953865
49.842213	30.564108
-94.89849	-51.7602
-27.855	-101.55776
-40.185165	69.07133
37.41096	-41.52465
-5.8820376	-33.708405
65.74881	82.86364
28.52311	-8.259567
18.535637	18.137327
110.643005	-26.083473
