Dimension_1	Dimension_2	Dimentions_3
-26.165274	-41.701157	-0.639023
-7.373481	7.7323046	-9.783357
30.487148	8.306192	-15.04824
-7.864192	-47.8108	3.9406822
-13.733091	-16.250233	-39.642105
-16.279026	-40.033646	-18.511028
-3.3157485	-11.336492	37.601704
0.8566389	-2.4383593	-12.202927
36.889824	-23.413643	7.0074015
20.442574	8.431015	-40.76266
6.3940487	15.154365	41.181187
-4.974904	43.8673	3.4228096
-7.650971	-17.872015	23.27726
-20.967834	-22.528862	15.410994
13.213277	-6.1043615	-20.98271
3.217179	17.437557	6.7064037
25.738445	4.049819	24.628849
-35.698765	8.5943575	-3.3277602
-14.803777	25.908506	36.710163
-50.813393	12.843413	-8.529408
-4.1534977	-1.9554191	-44.0105
30.279697	-18.941538	13.495549
4.0257077	45.362362	-24.57484
-8.709682	35.379875	-11.632404
-3.478846	34.05148	13.072472
-2.4447863	44.155273	10.751812
33.392807	-2.2045414	-6.9491878
13.720563	-15.706148	-11.079795
-14.170161	19.737066	-37.96991
-1.8940828	31.17516	-26.917948
-16.40694	12.223808	1.8557988
10.336966	-18.63309	-10.439376
-14.27468	-5.3933473	30.258163
0.7595127	22.378273	-35.36208
5.474254	-38.19667	-32.608067
-7.334729	32.40405	30.223919
-24.726738	-25.527071	6.617921
-0.27271	21.287685	-33.39629
-29.197287	-12.247643	3.5341496
-0.95186347	11.779293	6.4151287
0.1594389	-25.476784	29.81064
-19.425945	19.714487	-0.15422642
-4.192744	4.6349554	32.800755
9.115891	-28.995779	13.953899
-40.41558	12.588924	19.961092
2.9256039	36.653065	-23.412277
-17.280617	14.9908905	-10.535559
43.63151	-4.128263	-7.194929
-21.852598	8.16894	7.223101
30.908829	-1.8690822	17.298607
18.714783	4.6243663	-17.526348
12.273816	32.428524	17.175346
12.435265	43.96776	16.641937
40.914455	4.9938602	20.024624
14.539855	34.262215	-17.124172
-29.317482	12.302755	-7.536446
-37.615013	-26.614925	-3.5626063
-31.706636	17.845963	5.1067905
-26.256485	-6.570208	-14.23435
-1.1638024	-9.8884735	49.361763
33.050243	26.47242	1.1201646
5.2529726	35.23333	-24.163137
-21.481009	15.577021	-22.842688
21.36171	11.742755	49.260498
27.496677	2.7350736	-45.638264
23.73402	21.427673	1.625677
-30.613398	-24.981096	24.133217
4.896447	-4.5782275	54.450024
-4.75937	-11.950031	51.27706
-7.155492	13.570227	42.11953
6.890973	-16.600397	-36.92147
-19.668028	-41.93889	-11.580286
-36.28242	-5.738308	2.990287
34.548008	-23.74452	-6.482009
-21.315243	36.199734	-11.164276
7.811408	-7.2617674	-41.99798
40.187584	19.696573	-0.33242136
-41.66233	11.090173	19.383986
-36.62361	4.9208837	-8.428324
10.686134	-18.766924	15.493535
-2.3177888	35.18309	-0.7382968
15.721663	23.046518	-19.665138
40.810658	25.350224	13.041708
29.991953	-24.620787	-31.93748
33.554535	9.5629015	-14.767127
-31.742823	40.775333	-10.933578
1.4105481	-27.991621	7.519184
-28.695063	-23.677965	-2.5620441
-22.992289	3.3573706	-4.8107367
-19.623226	9.567575	15.280472
48.722588	16.05549	-7.442057
0.30318892	26.465485	19.67567
-21.188595	-3.165237	3.4422047
36.281063	-11.575217	-13.218013
9.472691	-2.6974874	-30.261654
31.996632	-10.244254	-35.58607
33.50583	2.768374	-29.331583
-43.81322	1.2173947	-16.529774
-27.644653	30.8774	18.526403
-2.40898	-11.240442	-36.260357
25.195963	3.0999427	-45.189117
26.992622	40.994602	-13.141969
44.458256	25.791697	4.0418816
3.6480217	4.963932	-29.425627
-30.304525	18.599218	7.8867865
12.494357	1.6599898	-22.573502
44.12177	6.31205	8.833131
-3.839307	-43.98868	-13.281592
1.3025167	46.275967	8.259832
19.021574	35.782806	12.856091
-25.401777	-21.03229	31.898579
38.32093	1.7244561	-11.021118
-29.188845	6.7776504	38.95314
-47.427753	-1.6345882	14.160399
-5.2233043	13.161197	49.453392
20.476786	-27.130318	3.7443073
0.533484	31.931704	-35.40256
-29.127138	-23.596157	-2.4890819
29.30834	17.762554	-0.58093095
12.362962	2.5982947	-23.64741
46.31212	13.462671	-15.499237
8.884753	27.110714	-35.178955
8.449521	23.243309	-29.947618
-4.3733435	-14.5041065	36.34914
15.118248	37.752235	-15.605276
27.744854	-3.0591824	22.356293
3.848618	-10.869013	-20.986166
-28.757593	17.904049	19.938816
17.754417	-24.702494	22.381306
-37.06205	1.9420573	-2.718848
-34.82213	7.70365	-5.784575
3.824834	54.464157	-1.5045696
-22.239769	-13.799229	3.3013978
-23.0878	3.4948988	44.289314
14.306047	-2.1550474	1.9917729
